threads,records,total sec,mean millis,ops/sec,p0.5 millis,p0.75 millis,p0.99 millis,p0.999 millis,p0.9999 millis
1,5000000,486,0.047,10288.066,0.038,0.040,0.130,0.179,0.228
5,5000000,137,0.061,36496.350,0.045,0.047,0.076,0.137,0.555
10,5000000,121,0.091,41322.314,0.068,0.080,0.170,0.293,1.898
15,5000000,121,0.136,41322.314,0.092,0.129,0.342,0.588,2.226
20,5000000,123,0.191,40650.407,0.129,0.186,0.653,1.112,3.275
25,5000000,125,0.245,40000.000,0.154,0.260,1.178,1.964,19.921
30,5000000,124,0.296,40322.581,0.154,0.309,1.702,2.882,24.115
50,5000000,128,0.511,39062.500,0.170,0.358,5.765,8.124,56.621
100,5000000,128,1.032,39062.500,0.162,0.326,16.775,22.018,88.078
150,5000000,129,1.571,38759.690,0.162,0.326,29.358,37.747,100.661
200,5000000,132,2.155,37878.788,0.170,0.326,41.941,52.427,121.633